pl_name,hostname,pl_letter,sy_snum,sy_pnum,discoverymethod,disc_year,disc_locale,disc_facility,disc_telescope,disc_instrument,ra,dec,glat,glon,elat,elon,pl_orbper,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,st_spectype,st_teff,st_rad,st_mass,st_lum,st_age,st_logg,st_dens,st_rotp,st_vsin,sy_dist,pl_type
HD 183263 c,HD 183263,c,1,2,Radial Velocity,2008,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,292.1022982,8.3579183,-4.30987,44.60924,29.86734,295.41815,4667.97841,12.5,1.12,2958.98247,9.31,Mass,8.32,G2 IV,5875.99,1.29,1.06,0.25,4.52,4.28,0.69443,,1.6,54.1955,Gas Giant
HD 184010 b,HD 184010,b,1,3,Radial Velocity,2022,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,292.8401421,26.6172796,3.8068,60.99426,47.62886,300.98859,286.6,12.1,1.08,98.52681,0.31,Msini,0.306,K0 III-IV,4971.0,4.86,1.35,1.117,2.76,3.18,,,1.34,60.7993,Gas Giant
HD 184010 c,HD 184010,c,1,3,Radial Velocity,2022,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,292.8401421,26.6172796,3.8068,60.99426,47.62886,300.98859,484.3,11.8,1.06,95.34852,0.3,Msini,0.319,K0 III-IV,4971.0,4.86,1.35,1.117,2.76,3.18,,,1.34,60.7993,Gas Giant
HD 184010 d,HD 184010,d,1,3,Radial Velocity,2022,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,292.8401421,26.6172796,3.8068,60.99426,47.62886,300.98859,836.4,14.3,1.28,143.02278,0.45,Msini,0.269,K0 III-IV,4971.0,4.86,1.35,1.117,2.76,3.18,,,1.34,60.7993,Gas Giant
HD 185269 b,HD 185269,b,3,1,Radial Velocity,2006,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,294.2987668,28.499514,3.58055,63.27132,49.14649,303.56235,6.83776,13.8,1.23,321.0083,1.01,Msini,0.671,G0 IV,5923.0,2.0,1.3,0.694,4.0,3.92,0.16236,,6.1,51.9917,Gas Giant
HD 187085 b,HD 187085,b,1,1,Radial Velocity,2006,Ground,Anglo-Australian Telescope,3.9 m Anglo-Australian Telescope,UCLES Spectrograph,297.3915731,-37.7809929,-27.12011,2.20149,-16.4365,292.27871,1019.74,13.9,1.24,265.70588,0.836,Msini,0.544,G0 V,6117.0,1.27,1.19,2.13,2.747,4.28,0.6538,21.0,5.1,45.8993,Gas Giant
HD 187123 b,HD 187123,b,1,2,Radial Velocity,1998,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,296.7428786,34.41899,4.67926,69.46581,54.25603,309.45329,3.0965828,14.2,1.27,166.218,0.523,Msini,0.319,G3 V,5790.0,1.15,1.04,0.127,7.4,4.33,0.96299,,2.1,45.9548,Gas Giant
HD 187123 c,HD 187123,c,1,2,Radial Velocity,2008,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,296.7428786,34.41899,4.67926,69.46581,54.25603,309.45329,3810.0,13.4,1.19,632.46,1.99,Msini,1.44,G3 V,5790.0,1.15,1.04,0.127,7.4,4.33,0.96299,,2.1,45.9548,Gas Giant
HD 18742 b,HD 18742,b,1,1,Radial Velocity,2011,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,45.0443115,-20.8027024,-60.00474,207.80483,-36.08484,35.18449,766.0,13.1,1.17,1080.622,3.4,Msini,2.64,G8/K0 IV,4940.0,5.13,1.36,1.143,2.3,3.09,,,2.98,162.685,Gas Giant
HD 188015 b,HD 188015,b,2,1,Radial Velocity,2004,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,298.0191857,28.0999769,0.54239,64.56026,47.8941,308.17279,461.2,13.6,1.21,476.72,1.5,Msini,1.04,G5 IV,5746.0,1.13,1.09,0.059,6.61,4.45,1.12887,,0.0,50.6706,Gas Giant
