pl_name,hostname,pl_letter,sy_snum,sy_pnum,discoverymethod,disc_year,disc_locale,disc_facility,disc_telescope,disc_instrument,ra,dec,glat,glon,elat,elon,pl_orbper,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,st_spectype,st_teff,st_rad,st_mass,st_lum,st_age,st_logg,st_dens,st_rotp,st_vsin,sy_dist,pl_type
Kepler-1542 b,Kepler-1542,b,1,4,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,285.7284757,42.6544651,16.03365,73.09059,64.5894,297.6851,3.95116882,0.76,0.068,0.363,0.00114,M-R relationship,4.54,,5564.0,0.99,0.94,0.07,8.51,4.41,0.92434,,,399.114,Terrestrial
Kepler-1542 c,Kepler-1542,c,1,4,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,285.7284757,42.6544651,16.03365,73.09059,64.5894,297.6851,2.89223021,0.65,0.058,0.208,0.00065,M-R relationship,4.16,,5564.0,0.99,0.94,0.07,8.51,4.41,0.92434,,,399.114,Terrestrial
Kepler-1542 d,Kepler-1542,d,1,4,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,285.7284757,42.6544651,16.03365,73.09059,64.5894,297.6851,5.99273738,0.87,0.078,0.59,0.00186,M-R relationship,4.92,,5564.0,0.99,0.94,0.07,8.51,4.41,0.92434,,,399.114,Terrestrial
Kepler-1542 e,Kepler-1542,e,1,4,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,285.7284757,42.6544651,16.03365,73.09059,64.5894,297.6851,5.10115756,0.76,0.068,0.363,0.00114,M-R relationship,4.54,,5564.0,0.99,0.94,0.07,8.51,4.41,0.92434,,,399.114,Terrestrial
Kepler-1547 b,Kepler-1547,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,283.7640396,42.2220992,17.21866,72.10913,64.51084,294.16893,0.69297968,0.9,0.08,0.666,0.0021,M-R relationship,5.02,,6078.0,1.18,1.12,0.222,3.39,4.34,0.71633,,,674.695,Terrestrial
Kepler-1558 b,Kepler-1558,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,286.8194349,46.9117837,16.91904,77.50759,68.45764,302.56956,3.50470358,0.68,0.061,0.244,0.00077,M-R relationship,4.26,,5101.0,0.79,0.83,-0.48,4.9,4.57,3.74289,,,325.737,Terrestrial
Kepler-1559 b,Kepler-1559,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,292.2866565,42.0725948,11.38109,74.60426,62.62175,307.74578,0.97191543,0.72,0.064,0.299,0.00094,M-R relationship,4.4,,5316.0,0.82,0.86,-0.276,4.27,4.55,1.67188,,,614.827,Terrestrial
Kepler-1560 b,Kepler-1560,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,292.7846013,43.21601,11.56277,75.81527,63.57484,309.35986,3.03195744,0.89,0.079,0.64,0.00201,M-R relationship,4.99,,5815.0,1.02,1.02,-0.034,4.17,4.43,1.4164,,,502.497,Terrestrial
Kepler-1563 b,Kepler-1563,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,288.5735936,51.4727698,17.54933,82.38685,72.29263,310.71592,3.43276598,0.75,0.067,0.347,0.00109,M-R relationship,4.52,,5765.0,0.99,1.0,-0.01,4.07,4.45,0.28641,,,616.697,Terrestrial
Kepler-1566 b,Kepler-1566,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,283.5875459,40.5749018,16.73832,70.4559,62.9294,293.08568,0.53991524,0.79,0.07,0.418,0.00131,M-R relationship,4.66,,5254.0,0.81,0.84,-0.437,5.01,4.56,2.85988,,,466.586,Terrestrial
Kepler-1572 b,Kepler-1572,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,281.8973341,46.7227061,20.01227,76.08913,69.19555,293.44733,5.49548621,0.94,0.084,0.779,0.00245,M-R relationship,5.15,,5618.0,0.95,0.97,0.373,4.79,4.47,2.94225,,,946.602,Terrestrial
Kepler-1579 b,Kepler-1579,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,293.288022,43.5149061,11.36968,76.25532,63.7264,310.36824,0.84990789,0.84,0.075,0.52,0.00164,M-R relationship,4.82,,4584.0,0.7,0.75,-0.94,2.24,4.63,2.42054,,,466.0,Terrestrial
Kepler-1581 b,Kepler-1581,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,287.3713199,39.6036225,13.69395,70.69427,61.32645,298.64757,6.28385491,0.8,0.071,0.437,0.00137,M-R relationship,4.69,,6022.0,1.23,1.12,0.391,4.17,4.31,0.50483,,,493.175,Terrestrial
Kepler-1583 b,Kepler-1583,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,286.3869335,47.0165188,17.23201,77.49514,68.64894,301.89133,9.32807355,0.6,0.054,0.156,0.00049,M-R relationship,3.97,,5645.0,0.91,0.94,-0.018,4.27,4.49,1.12325,,,403.933,Terrestrial
Kepler-1588 b,Kepler-1588,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,288.2327232,48.0021967,16.44589,78.93826,69.16948,306.06531,7.84931739,0.76,0.068,0.363,0.00114,M-R relationship,4.54,,5817.0,0.99,0.96,0.32,5.5,4.43,1.26826,,,924.141,Terrestrial
Kepler-1598 b,Kepler-1598,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,288.469107,46.7836464,15.82723,77.83275,67.96994,305.33287,4.34195123,0.95,0.085,0.809,0.00254,M-R relationship,5.18,,5940.0,1.09,1.07,-0.039,3.8,4.39,1.92063,,,619.862,Terrestrial
Kepler-1601 b,Kepler-1601,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,285.5129496,38.079839,14.40649,68.65619,60.17743,295.04502,2.20921951,0.82,0.073,0.477,0.0015,M-R relationship,4.75,,5869.0,1.07,1.04,0.085,4.27,4.4,0.54774,,,644.456,Terrestrial
Kepler-1607 b,Kepler-1607,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,296.0598685,42.6560582,9.17825,76.43909,62.18762,313.82471,13.6473676,0.92,0.082,0.721,0.00227,M-R relationship,5.09,,6116.0,1.21,1.14,0.709,3.16,4.33,0.25152,,,1286.1,Terrestrial
Kepler-1611 b,Kepler-1611,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,296.5120204,49.7277506,12.24637,82.93231,68.45248,321.78208,5.1762429,0.81,0.072,0.457,0.00144,M-R relationship,4.73,,5605.0,0.93,0.94,-0.113,5.01,4.49,0.30556,,,908.444,Terrestrial
Kepler-1619 b,Kepler-1619,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,285.703595,44.4221528,16.71563,74.79049,66.30124,298.74737,23.6225913,0.76,0.068,0.363,0.00114,M-R relationship,4.54,,5852.0,1.0,1.0,0.326,4.27,4.44,0.44411,,,734.85,Terrestrial
Kepler-1629 b,Kepler-1629,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,280.2066276,43.7743281,20.19416,72.70897,66.55032,288.75535,3.87595807,0.77,0.069,0.381,0.0012,M-R relationship,4.59,,5776.0,1.01,1.01,-0.134,4.27,4.44,2.09831,,5.9,336.09,Terrestrial
Kepler-1637 b,Kepler-1637,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,282.2368006,48.1542016,20.25106,77.61218,70.5291,295.10039,6.10960324,0.89,0.079,0.64,0.00201,M-R relationship,4.99,,5789.0,1.02,1.02,0.023,4.17,4.43,0.30143,,,567.187,Terrestrial
Kepler-1650 b,Kepler-1650,b,1,1,Transit,2017,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,297.7292296,42.8666919,8.2103,77.22891,61.9116,316.41193,1.53818001,0.96,0.086,0.84,0.00264,M-R relationship,5.22,,3410.0,0.33,0.33,-1.871,13.9,4.86,8.73,,,134.397,Terrestrial
Kepler-1689 b,Kepler-1689,b,1,1,Transit,2020,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,291.5741663,38.6559433,10.34205,71.24425,59.5379,304.49934,8.483,0.947,0.084,0.799,0.00251,M-R relationship,5.17,,5731.43,1.0,1.02,-0.016,2.5,4.45,1.45879,,,294.122,Terrestrial
Kepler-1693 c,Kepler-1693,c,1,2,Transit,2021,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,290.2015581,48.1857799,15.30878,79.6509,68.85961,309.6709,5.36370993,0.977,0.087,0.894,0.00281,M-R relationship,5.27,,5553.0,1.1,0.94,-0.218,0.8,4.33,1.83604,,,760.065,Terrestrial
Kepler-1759 b,Kepler-1759,b,1,1,Transit,2021,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,298.4656275,48.5593334,10.56558,82.50797,66.81246,323.24233,3.7202301,0.904,0.081,0.676,0.00213,M-R relationship,5.03,,5017.0,0.8,0.76,-0.563,13.8,4.52,4.00992,,,385.348,Terrestrial
Kepler-1800 b,Kepler-1800,b,1,1,Transit,2021,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,297.6513317,40.3524154,7.01237,74.99789,59.60667,314.35071,4.56202984,0.997,0.089,0.961,0.00302,M-R relationship,5.33,,5343.0,2.51,1.33,-0.188,14.0,3.76,0.11805,,,350.455,Terrestrial
Kepler-1850 b,Kepler-1850,b,1,1,Transit,2021,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,287.1428295,43.6161177,15.45157,74.42563,65.24245,300.63497,1.3858,0.729,0.065,0.313,0.00098,M-R relationship,4.44,,4239.0,0.6,0.61,-0.81,13.8,4.67,2.25807,,,250.199,Terrestrial
Kepler-1864 b,Kepler-1864,b,1,1,Transit,2021,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,289.6867653,41.5889178,12.91726,73.29961,62.7636,303.4038,3.88151002,0.754,0.067,0.353,0.00111,M-R relationship,4.52,,5854.0,0.98,1.03,0.03,,4.47,1.57925,,,298.894,Terrestrial
Kepler-1876 b,Kepler-1876,b,1,1,Transit,2021,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,299.1604859,41.1437964,6.42466,76.26675,59.91047,317.04113,6.99205,0.853,0.076,2.4,0.00755,Mass,19.0,,6104.0,1.48,1.19,0.429,4.4,4.07,0.38461,,,259.935,Terrestrial
Kepler-1877 b,Kepler-1877,b,1,1,Transit,2021,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,294.866924,46.7904816,11.86335,79.751,66.32054,315.79715,2.37756991,0.624,0.056,0.179,0.00056,M-R relationship,4.05,,5615.0,0.94,1.02,-0.077,0.4,4.5,1.51434,,,285.312,Terrestrial
Kepler-1890 b,Kepler-1890,b,1,1,Transit,2021,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,292.5778203,40.6679032,10.5562,73.42492,61.22167,307.22233,4.82059002,0.869,0.077,0.587,0.00185,M-R relationship,4.92,,6046.0,1.4,1.02,0.267,2.65,4.16,0.06351,,,529.596,Terrestrial
Kepler-1898 b,Kepler-1898,b,1,1,Transit,2021,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,287.2058009,38.4981903,13.35942,69.60258,60.28514,297.84245,4.76562023,0.934,0.083,0.76,0.00239,M-R relationship,5.13,,5702.0,1.12,0.84,-0.235,,4.26,3.75634,,,360.921,Terrestrial
Kepler-1907 b,Kepler-1907,b,1,2,Transit,2021,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,280.7085829,47.3279236,20.97129,76.43207,69.96652,291.57066,5.65245009,0.87,0.078,0.589,0.00185,M-R relationship,4.92,,5159.0,0.8,0.75,-0.625,14.0,4.51,0.62612,,4.1,292.111,Terrestrial
Kepler-1934 b,Kepler-1934,b,1,1,Transit,2021,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,290.9193265,37.2871677,10.19281,69.76532,58.36802,302.79608,1.41975999,0.913,0.081,0.702,0.00221,M-R relationship,5.07,,5925.0,1.04,0.97,0.108,,4.39,1.95904,,,428.514,Terrestrial
Kepler-1957 b,Kepler-1957,b,1,1,Transit,2021,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,293.711436,47.8874467,13.0557,80.39441,67.6445,315.1525,2.18662,0.944,0.084,0.79,0.00248,M-R relationship,5.16,,4904.0,0.77,0.74,-0.601,,4.54,0.93901,,,460.899,Terrestrial
Kepler-1963 b,Kepler-1963,b,1,1,Transit,2021,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,296.5875182,47.207129,11.01842,80.68423,66.19367,318.87403,1.96226001,0.744,0.066,0.337,0.00106,M-R relationship,4.49,,5726.0,0.98,0.92,-0.259,,4.42,5.35253,,,492.847,Terrestrial
Kepler-1967 b,Kepler-1967,b,1,1,Transit,2021,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,299.1376276,43.4984724,7.63779,78.30027,62.07547,318.95597,7.28169012,0.73,0.065,0.315,0.00099,M-R relationship,4.45,,4970.0,1.81,1.0,-0.567,,3.92,0.4597,,,249.102,Terrestrial
Kepler-197 e,Kepler-197,e,2,4,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,295.2264739,50.5592348,13.35928,83.30414,69.57907,320.89119,25.209715,0.91,0.081,0.693,0.00218,M-R relationship,5.05,,6004.0,1.12,0.86,0.222,5.37,4.3,0.87104,,,330.575,Terrestrial
Kepler-20 e,Kepler-20,e,2,6,Transit,2011,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,287.6979913,42.3385782,14.57345,73.37692,63.90239,300.71449,6.0984882,0.821,0.073,0.76,0.00239,Mass,7.5,,5495.0,0.92,0.93,-0.165,5.6,4.45,1.51,,0.4,282.563,Terrestrial
Kepler-220 b,Kepler-220,b,1,4,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,291.5060432,46.8956262,13.97444,78.81162,67.33175,310.53807,4.159807,0.81,0.072,0.457,0.00144,M-R relationship,4.73,,4632.0,0.67,0.73,-0.676,6.0,4.65,2.15978,,,171.109,Terrestrial
Kepler-220 d,Kepler-220,d,1,4,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,291.5060432,46.8956262,13.97444,78.81162,67.33175,310.53807,28.122397,0.98,0.087,0.904,0.00284,M-R relationship,5.28,,4632.0,0.67,0.73,-0.676,6.0,4.65,2.15978,,,171.109,Terrestrial
Kepler-271 c,Kepler-271,c,1,3,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,283.0029316,44.284108,18.46832,73.92797,66.6445,293.9732,7.41086267,0.95,0.085,0.809,0.00254,M-R relationship,5.18,,5555.0,0.87,0.9,-0.253,4.57,4.52,1.87677,,,404.542,Terrestrial
Kepler-271 d,Kepler-271,d,1,3,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,283.0029316,44.284108,18.46832,73.92797,66.6445,293.9732,5.24972541,0.66,0.059,0.219,0.00069,M-R relationship,4.19,,5555.0,0.87,0.9,-0.253,4.57,4.52,2.05485,,,404.542,Terrestrial
Kepler-303 b,Kepler-303,b,1,2,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,283.1354742,43.6567036,18.16052,73.34339,66.01167,293.85462,1.937055,0.89,0.079,0.64,0.00201,M-R relationship,4.99,M0 V,3944.0,0.48,0.57,-1.066,3.31,4.77,5.28345,,,209.738,Terrestrial
Kepler-314 b,Kepler-314,b,1,2,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,294.6741507,42.0756037,9.80545,75.42939,62.01997,311.33085,2.461069,0.83,0.074,0.498,0.00157,M-R relationship,4.79,,5378.0,0.95,0.99,-0.226,2.4,4.46,1.49432,,,268.881,Terrestrial
Kepler-32 f,Kepler-32,f,1,5,Transit,2012,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,297.8423073,46.5743595,9.96232,80.53919,65.24682,320.05971,0.74296,0.82,0.073,0.477,0.0015,M-R relationship,4.75,M1 V,3900.0,0.53,0.58,-1.292,2.69,4.64,4.21511,,,323.847,Terrestrial
Kepler-33 c,Kepler-33,c,1,5,Transit,2011,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,289.0775348,46.0051696,15.13411,77.26281,67.09587,305.68506,13.17562,3.2,0.285,0.39,0.00123,Mass,0.13,,5904.0,1.82,1.29,0.556,4.27,4.03,0.3,,3.4,1209.16,Terrestrial
