rowid,pl_name,hostname,pl_letter,sy_snum,sy_pnum,discoverymethod,disc_year,disc_locale,disc_facility,disc_telescope,disc_instrument,ra,dec,glat,glon,elat,elon,pl_orbper,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,st_spectype,st_teff,st_rad,st_mass,st_lum,st_age,st_logg,st_dens,st_rotp,st_vsin,sy_dist
2779,Kepler-1564 b,Kepler-1564,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,290.5861316,46.6427486,14.44144,78.30327,67.33043,308.78028,18.0540381,1.47,0.131,2.76,0.00869,M-R relationship,4.77,,5528.0,0.9,0.93,-0.135,4.57,4.5,1.57821,,,908.805
2780,Kepler-1565 b,Kepler-1565,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,297.9529793,40.8067876,7.04077,75.5098,59.94461,315.10649,1.53818844,1.19,0.106,1.81,0.0057,M-R relationship,5.9,,4940.0,0.73,0.76,-0.564,5.62,4.6,2.54419,,,629.93
2781,Kepler-1566 b,Kepler-1566,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,283.5875459,40.5749018,16.73832,70.4559,62.9294,293.08568,0.53991524,0.79,0.07,0.418,0.00131,M-R relationship,4.66,,5254.0,0.81,0.84,-0.437,5.01,4.56,2.85988,,,466.586
2782,Kepler-1567 b,Kepler-1567,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,286.695153,40.2918894,14.44585,71.12808,62.12108,297.94426,153.979578,2.73,0.244,7.9,0.0249,M-R relationship,2.13,,5655.0,0.93,0.95,-0.122,4.17,4.49,1.90062,,,1206.11
2783,Kepler-1568 b,Kepler-1568,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,289.1826808,47.8733301,15.80935,79.07172,68.82253,307.59667,20.925392,1.3,0.116,2.24,0.00705,M-R relationship,5.6,,5956.0,1.19,1.09,0.258,4.57,4.32,0.54814,,,916.313
2784,Kepler-1569 b,Kepler-1569,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,292.2046748,37.2212065,9.24991,70.17366,58.02088,304.62646,5.79180156,1.68,0.15,3.46,0.0109,M-R relationship,4.01,,6319.0,1.4,1.25,0.335,2.45,4.24,1.38609,,,945.454
2785,Kepler-157 b,Kepler-157,b,1,3,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,291.0972257,38.8756049,10.77283,71.27591,59.85499,303.91816,1.732342,1.32,0.118,2.3,0.00724,M-R relationship,5.5,,5774.0,1.04,1.02,0.091,4.07,4.39,1.38122,,,773.713
2786,Kepler-157 c,Kepler-157,c,1,3,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,291.0972257,38.8756049,10.77283,71.27591,59.85499,303.91816,13.5405,2.24,0.2,5.65,0.0178,M-R relationship,2.76,,5774.0,1.04,1.02,0.091,4.07,4.39,1.29576,,,773.713
2787,Kepler-157 d,Kepler-157,d,1,3,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,291.0972257,38.8756049,10.77283,71.27591,59.85499,303.91816,7.02573474,1.46,0.13,2.73,0.00859,M-R relationship,4.82,,5866.0,1.03,1.02,0.091,4.07,4.42,6.4897,,,773.713
2788,Kepler-1570 b,Kepler-1570,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,299.8617842,45.8274232,8.37838,80.58993,63.95337,322.199,26.548955,1.07,0.095,1.24,0.0039,M-R relationship,5.56,,5550.0,0.89,0.92,0.414,4.17,4.5,0.44967,,,918.995
