rowid,pl_name,hostname,pl_letter,sy_snum,sy_pnum,discoverymethod,disc_year,disc_locale,disc_facility,disc_telescope,disc_instrument,ra,dec,glat,glon,elat,elon,pl_orbper,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,st_spectype,st_teff,st_rad,st_mass,st_lum,st_age,st_logg,st_dens,st_rotp,st_vsin,sy_dist
1499,K2-201 b,K2-201,b,1,2,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,293.5607117,-23.1312775,-19.33571,16.19347,-1.43933,291.57009,1.05979,1.4,0.125,2.54,0.008,M-R relationship,5.09,,5507.0,0.88,0.96,-0.276,,4.68,1.87336,,,197.932
1500,K2-201 c,K2-201,c,1,2,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,293.5607117,-23.1312775,-19.33571,16.19347,-1.43933,291.57009,22.779878,3.286,0.293,10.8,0.034,M-R relationship,1.67,,5507.0,0.88,0.96,-0.276,,4.68,1.87336,,,197.932
1501,K2-2016-BLG-0005L b,K2-2016-BLG-0005L,b,1,1,Microlensing,2023,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,269.8798333,-27.6074722,-1.95829,2.70141,-4.16824,269.88936,4700.0,13.7,1.23,349.61125,1.1,Mass,0.747,,,,0.58,,,,,,,5200.0
1502,K2-202 b,K2-202,b,1,1,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,283.2643203,-22.4070553,-10.34806,12.94347,0.47006,282.2432,3.405164,2.302,0.205,5.91,0.0186,M-R relationship,2.66,,5491.0,0.91,0.97,-0.335,,4.55,1.75012,,,300.397
1503,K2-203 b,K2-203,b,1,1,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,12.7736909,-1.1958844,-64.0675,122.7358,-6.14691,11.27793,9.695101,1.371,0.122,2.45,0.00772,M-R relationship,5.23,,5000.0,0.76,0.79,-0.485,,4.43,2.65477,,,166.147
1504,K2-204 b,K2-204,b,1,1,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,17.3825067,-0.5177539,-63.03714,132.94761,-7.30329,15.82137,7.055784,3.046,0.272,9.51,0.0299,M-R relationship,1.85,,5755.0,1.18,1.01,0.253,,4.23,0.70142,,,577.235
1505,K2-205 b,K2-205,b,1,1,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,15.2175909,0.425966,-62.35258,128.01885,-5.60023,14.17474,26.672263,1.996,0.178,4.64,0.0146,M-R relationship,3.21,,5890.0,1.08,0.95,0.194,,4.25,0.75459,,,405.301
1506,K2-206 b,K2-206,b,1,1,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,11.2564264,0.5931866,-62.23569,119.48925,-3.90737,10.5773,18.294549,2.795,0.249,8.22,0.0259,M-R relationship,2.07,,5043.0,0.76,0.79,-0.435,,4.46,2.3935,,,244.443
1507,K2-207 b,K2-207,b,1,1,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,11.6996481,0.6406182,-62.20872,120.44391,-4.03689,11.00482,12.48749,2.606,0.232,7.3,0.023,M-R relationship,2.27,,5522.0,0.93,0.94,-0.173,,4.41,1.85898,,,363.064
1508,K2-208 b,K2-208,b,1,1,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,20.7789809,0.8890076,-60.96448,139.4218,-7.28846,19.52754,4.190948,1.679,0.15,3.46,0.0109,M-R relationship,4.02,,5582.0,0.86,0.93,-0.214,,4.62,2.17698,,,256.887
1509,K2-209 b,K2-209,b,1,1,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,14.6903464,1.382807,-61.43447,126.76197,-4.51408,14.05708,2.080615,0.869,0.077,0.586,0.00184,M-R relationship,4.92,,4720.0,0.71,0.74,-0.588,,4.46,2.25118,,,76.4986
1510,K2-21 b,K2-21,b,1,2,Transit,2015,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,340.3037846,-14.4893256,-57.17935,48.93602,-5.72499,336.36104,9.325038,1.84,0.164,4.04,0.0127,M-R relationship,2.7,M0.0,4222.06,0.65,0.68,-1.026,1.0,4.83,3.1676,,,83.6448
1511,K2-21 c,K2-21,c,1,2,Transit,2015,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,340.3037846,-14.4893256,-57.17935,48.93602,-5.72499,336.36104,15.50192,2.49,0.222,6.76,0.0213,M-R relationship,5.4,M0.0,4222.06,0.65,0.68,-0.985,1.0,4.83,3.1676,,,83.6448
1512,K2-210 b,K2-210,b,1,1,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,17.6412694,1.5784137,-60.92611,132.80593,-5.46462,16.8672,0.57023,0.86,0.077,0.566,0.00178,M-R relationship,4.89,,5500.0,0.89,0.91,-0.249,,4.6,1.94223,,,176.51
1513,K2-211 b,K2-211,b,1,1,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,21.1061587,1.7049101,-60.09222,139.64299,-6.65428,20.14076,0.669532,1.3,0.116,2.24,0.00705,M-R relationship,5.6,,5360.0,0.79,0.88,-0.386,,4.7,2.38468,,,272.297
1514,K2-212 b,K2-212,b,1,1,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,18.4241015,3.0970732,-59.30136,133.86499,-4.35659,18.17215,9.795647,2.65,0.236,7.51,0.0236,M-R relationship,2.22,,4349.0,0.68,0.62,-0.91,,4.72,4.445,,,109.218
1515,K2-213 b,K2-213,b,1,1,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,13.1403998,3.5077702,-59.36278,123.48216,-1.95562,13.44991,8.13087,1.514,0.135,2.9,0.00913,M-R relationship,4.59,,5794.0,1.2,1.07,0.247,,4.25,0.64207,,,389.702
1516,K2-214 b,K2-214,b,1,1,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,14.8759777,4.2277722,-58.58351,126.79207,-1.96014,15.32634,8.596802,2.43,0.217,6.48,0.0204,M-R relationship,2.48,,5854.0,1.27,1.05,0.196,,4.25,1.08,,,300.64
1517,K2-215 b,K2-215,b,1,1,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,18.4700795,6.1238647,-56.30748,133.02426,-1.57154,19.36005,8.269648,2.124,0.189,5.16,0.0162,M-R relationship,2.96,,5704.0,0.97,1.0,-0.026,,4.41,1.34077,,,403.964
1518,K2-216 b,K2-216,b,1,1,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,11.4802354,6.3470302,-56.49811,120.44792,1.30322,13.02957,2.1748,1.75,0.156,8.0,0.02517,Mass,8.2,K5 V,4503.0,0.72,0.7,-0.721,,4.57,2.3,,1.8,115.461
1519,K2-217 b,K2-217,b,1,1,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,11.2983678,6.4815879,-56.3562,120.13142,1.49761,12.91561,14.074524,3.579,0.319,12.5,0.0393,M-R relationship,1.5,,5967.0,1.33,1.1,0.232,,4.17,0.77473,,,381.878
1520,K2-218 b,K2-218,b,1,1,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,12.809613,6.8464327,-56.02528,122.84333,1.24964,14.44075,8.679885,2.569,0.229,7.13,0.0224,M-R relationship,2.31,,5757.0,1.01,1.05,-0.003,,4.45,1.21277,,,394.083
1521,K2-219 b,K2-219,b,1,3,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,12.8452963,8.8675474,-54.0042,122.90808,3.09857,15.25844,3.901287,1.348,0.12,2.38,0.0075,M-R relationship,5.34,,5753.0,1.19,1.02,0.151,,4.23,0.72546,,,325.4
1522,K2-219 c,K2-219,c,1,3,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,12.8452963,8.8675474,-54.0042,122.90808,3.09857,15.25844,6.66767,1.438,0.128,2.66,0.00837,M-R relationship,4.91,,5753.0,1.19,1.02,0.151,,4.23,0.72546,,,325.4
1523,K2-219 d,K2-219,d,1,3,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,12.8452963,8.8675474,-54.0042,122.90808,3.09857,15.25844,11.137278,2.576,0.23,7.16,0.0225,M-R relationship,2.3,,5753.0,1.19,1.02,0.151,,4.23,0.72546,,,325.4
1524,K2-22 b,K2-22,b,2,1,Transit,2015,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,169.4827046,2.6190363,56.81595,256.5319,-1.75392,169.30243,0.381073,2.3,0.205,444.962,1.4,Mass,,M0 V,3879.0,0.58,0.6,-1.074,,4.7,3.65548,,,243.836
1525,K2-220 b,K2-220,b,1,1,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,12.7700071,9.5167694,-53.35488,122.78408,3.72566,15.44256,13.683256,2.39,0.213,6.3,0.0198,M-R relationship,2.54,,5660.0,1.02,0.96,-0.061,,4.4,3.061,,,233.514
1526,K2-221 b,K2-221,b,1,1,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,16.6550286,10.1897385,-52.5008,129.07585,2.87184,19.24032,2.399094,1.679,0.15,3.46,0.0109,M-R relationship,4.02,,5716.0,0.95,1.01,-0.064,,4.57,1.28588,,,318.81
1527,K2-222 b,K2-222,b,1,1,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,16.4625203,11.7537171,-50.96109,128.53772,4.38938,19.66406,15.38857,2.35,0.21,8.7,0.02737,Mass,3.68,,5942.0,1.11,0.99,0.139,7.1,4.37,1.25,,,101.321
1528,K2-223 b,K2-223,b,1,2,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,185.306183,-10.2820915,51.87879,290.83817,-7.32923,188.9569,0.50557,0.89,0.079,0.64,0.00201,M-R relationship,4.99,,5859.0,1.0,1.06,-0.035,,4.5,1.55082,,,198.604
1529,K2-223 c,K2-223,c,1,2,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,185.306183,-10.2820915,51.87879,290.83817,-7.32923,188.9569,4.562546,1.5,0.134,2.86,0.00899,M-R relationship,4.66,,5859.0,1.0,1.06,-0.035,,4.5,1.55082,,,198.604
1530,K2-224 b,K2-224,b,1,2,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,189.7041426,-10.0605942,52.68541,297.80252,-5.40849,192.86689,4.47904,1.56,0.139,3.05,0.00961,M-R relationship,4.41,,5620.0,0.84,0.91,-0.241,,4.55,2.73527,,,275.255
1531,K2-224 c,K2-224,c,1,2,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,189.7041426,-10.0605942,52.68541,297.80252,-5.40849,192.86689,10.09489,2.41,0.215,6.39,0.0201,M-R relationship,2.51,,5620.0,0.84,0.91,-0.241,,4.55,2.73527,,,275.255
1532,K2-225 b,K2-225,b,1,1,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,186.5410958,-9.6248232,52.73956,292.60786,-6.24176,189.81665,15.87209,3.49,0.311,12.0,0.0377,M-R relationship,1.55,,5742.0,1.7,1.27,0.395,,4.08,0.21992,,,357.778
1533,K2-226 b,K2-226,b,1,1,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,183.6456643,-9.5626286,52.2367,287.99069,-7.32374,187.15529,3.27108,1.54,0.137,2.99,0.0094,M-R relationship,4.5,,5424.0,0.91,0.88,-0.276,,4.47,1.72343,,,211.265
1534,K2-227 b,K2-227,b,1,1,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,190.9484237,-8.4784159,54.34518,299.6881,-3.47128,193.37684,13.621832,1.666,0.149,3.41,0.0107,M-R relationship,4.06,,5673.0,0.89,0.95,-0.167,,4.58,1.66362,,,187.234
1535,K2-228 b,K2-228,b,1,1,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,187.2947047,-6.8342028,55.61276,293.11643,-3.38409,189.39384,2.69828,1.21,0.108,1.92,0.00606,M-R relationship,5.96,,4715.0,0.65,0.71,-0.849,,4.66,4.35191,,,129.46
1536,K2-229 b,K2-229,b,1,2,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,186.8729195,-6.7218474,55.65723,292.35223,-3.44652,188.96395,0.584216,1.0,0.089,2.49,0.00783,Mass,8.9,G9,5315.0,0.79,0.87,-0.389,5.4,4.6,2.38,18.1,2.46,102.564
1537,K2-229 c,K2-229,c,1,2,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,186.8729195,-6.7218474,55.65723,292.35223,-3.44652,188.96395,8.32727,2.03,0.181,21.3,0.06702,Mass,12.8,G9,5315.0,0.79,0.87,-0.389,5.4,4.59,2.38,18.1,2.46,102.564
1538,K2-230 b,K2-230,b,1,1,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,191.363117,-6.576051,56.26458,300.25458,-1.55949,193.01173,2.86041,1.96,0.175,4.5,0.0142,M-R relationship,3.28,,5945.0,1.39,1.11,0.317,,4.2,0.64706,,5.2,540.773
1539,K2-231 b,K2-231,b,1,1,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,289.0918242,-15.7712178,-12.52792,21.45369,6.45241,288.46423,13.841901,2.5,0.223,6.8,0.0214,M-R relationship,2.39,,5695.0,0.95,1.01,-0.112,3.0,4.48,1.21128,,2.0,321.215
1540,K2-232 b,K2-232,b,1,1,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,73.7667927,18.654323,-15.31645,182.07129,-3.92156,74.60046,11.168454,11.209,1.0,126.49634,0.398,Mass,0.405,,6154.0,1.16,1.19,0.238,1.43,4.38,0.782,,4.16,130.72
1541,K2-233 b,K2-233,b,1,3,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,230.4799011,-20.2317975,30.24863,344.46401,-1.68296,233.31618,2.4675,1.343,0.12,11.26,0.03543,Mass,26.26,K3,5033.0,0.71,0.79,-0.523,0.36,4.64,3.17211,9.75,4.5,67.5062
1542,K2-233 c,K2-233,c,1,3,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,230.4799011,-20.2317975,30.24863,344.46401,-1.68296,233.31618,7.06005,1.281,0.114,12.81,0.0403,Mass,33.91,K3,5033.0,0.71,0.79,-0.523,0.36,4.64,3.17211,9.75,4.5,67.5062
1543,K2-233 d,K2-233,d,1,3,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,230.4799011,-20.2317975,30.24863,344.46401,-1.68296,233.31618,24.3645,2.358,0.21,21.14,0.06651,Mass,8.85,K3,5033.0,0.71,0.79,-0.523,0.36,4.64,3.17211,9.75,4.5,67.5062
1544,K2-237 b,K2-237,b,1,1,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,253.7688479,-28.7105836,9.23357,353.87129,-6.07195,255.72373,2.18053539,16.197,1.445,433.20012,1.363,Mass,0.562,F9 V,6360.0,1.26,1.26,0.371,1.02,4.34,0.888,5.07,11.76,314.995
1545,K2-238 b,K2-238,b,1,1,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,347.7043164,-7.8575592,-59.35657,67.22735,-2.37937,345.62843,3.20466,14.572,1.3,273.3338,0.86,Mass,0.56,G2 V,5630.0,1.59,1.19,0.36,5.63,4.11,0.0775,,3.78,537.963
1546,K2-239 b,K2-239,b,1,3,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,160.5941265,4.4413751,51.77727,243.59017,-3.48106,160.40247,5.24,1.1,0.098,1.37,0.0043,M-R relationship,5.66,M3.0 V,3420.0,0.36,0.4,-1.796,,4.9,19.15052,,,31.0849
1547,K2-239 c,K2-239,c,1,3,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,160.5941265,4.4413751,51.77727,243.59017,-3.48106,160.40247,7.775,1.0,0.089,0.972,0.00306,M-R relationship,5.34,M3.0 V,3420.0,0.36,0.4,-1.796,,4.9,19.15052,,,31.0849
1548,K2-239 d,K2-239,d,1,3,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,160.5941265,4.4413751,51.77727,243.59017,-3.48106,160.40247,10.115,1.1,0.098,1.37,0.0043,M-R relationship,5.66,M3.0 V,3420.0,0.36,0.4,-1.796,,4.9,19.15052,,,31.0849
1549,K2-24 b,K2-24,b,1,2,Transit,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,242.5734559,-24.9906029,19.20525,349.99931,-3.87591,245.25972,20.88977,5.4,0.482,19.0,0.05978,Mass,0.64,G9 V,5625.0,1.16,1.07,0.158,5.1,4.29,0.89,,2.0,170.562
1550,K2-24 c,K2-24,c,1,2,Transit,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,242.5734559,-24.9906029,19.20525,349.99931,-3.87591,245.25972,42.3391,7.5,0.669,15.4,0.04845,Mass,0.2,G9 V,5625.0,1.16,1.07,0.158,5.1,4.29,0.89,,2.0,170.562
1551,K2-240 b,K2-240,b,1,2,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,227.849371,-17.8754464,33.6394,343.8913,-0.05449,230.30219,6.034,2.0,0.178,4.66,0.0147,M-R relationship,3.2,M0.5 V,3810.0,0.54,0.58,-1.276,,4.7,4.32946,10.8,,72.9105
1552,K2-240 c,K2-240,c,1,2,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,227.849371,-17.8754464,33.6394,343.8913,-0.05449,230.30219,20.523,1.8,0.161,3.89,0.0123,M-R relationship,3.67,M0.5 V,3810.0,0.54,0.58,-1.276,,4.7,4.32946,10.8,,72.9105
1553,K2-241 b,K2-241,b,1,1,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,181.2386829,-6.8052985,54.24973,282.91232,-5.7495,183.8474,26.8199,2.55,0.227,7.04,0.0221,M-R relationship,2.33,,5262.0,0.75,0.71,-0.446,,4.54,3.10999,,2.08,149.464
1554,K2-242 b,K2-242,b,1,1,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,179.8358421,-6.5178542,54.06962,280.50197,-6.04319,182.44793,6.51389,2.54,0.227,6.99,0.022,M-R relationship,2.34,,3459.0,0.37,0.38,-1.808,,4.89,10.34168,,,109.237
1555,K2-243 b,K2-243,b,1,2,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,181.1211419,-4.8991358,56.0218,281.66644,-4.04845,182.9761,11.54182,2.17,0.194,5.35,0.0168,M-R relationship,2.88,,6570.0,1.39,1.29,0.427,,4.26,0.35249,,,266.864
1556,K2-243 c,K2-243,c,1,2,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,181.1211419,-4.8991358,56.0218,281.66644,-4.04845,182.9761,24.94598,2.01,0.179,4.7,0.0148,M-R relationship,3.18,,6570.0,1.39,1.29,0.427,,4.26,0.35249,,,266.864
1557,K2-244 b,K2-244,b,1,1,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,183.4686492,-3.8318097,57.739,285.17361,-2.13766,184.70113,21.06884,1.75,0.156,3.71,0.0117,M-R relationship,3.8,,5677.0,0.92,0.86,-0.118,,4.44,2.1153,,3.69,212.902
1558,K2-245 b,K2-245,b,1,1,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,185.181563,-1.5909138,60.34375,287.27271,0.59807,185.38279,11.89307,4.34,0.387,17.4,0.0546,M-R relationship,1.17,,5793.0,1.25,0.83,0.172,,4.16,1.0187,,4.62,456.064
1559,K2-246 b,K2-246,b,1,1,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,181.6296115,-1.1606,59.71563,280.22006,-0.41675,181.95282,5.76918,3.49,0.311,12.0,0.0377,M-R relationship,1.55,,5610.0,0.94,0.87,-0.151,,4.43,1.68077,,2.9,703.616
1560,K2-247 b,K2-247,b,1,2,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,188.8935189,-10.0692793,52.60405,296.49384,-5.73127,192.1334,2.25021,2.12,0.189,5.14,0.0162,M-R relationship,2.96,,4667.0,0.69,0.74,-0.882,,4.63,2.0381,,,258.113
1561,K2-247 c,K2-247,c,1,2,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,188.8935189,-10.0692793,52.60405,296.49384,-5.73127,192.1334,6.49424,2.19,0.195,5.43,0.0171,M-R relationship,2.84,,4667.0,0.69,0.74,-0.882,,4.63,2.0381,,,258.113
1562,K2-248 b,K2-248,b,1,1,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,182.8173343,-9.4141696,52.18224,286.63848,-7.51491,186.34039,7.17256,2.57,0.229,7.13,0.0224,M-R relationship,2.31,,5528.0,0.92,0.88,-0.189,,4.45,1.82647,,2.6,406.254
1563,K2-249 b,K2-249,b,1,1,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,183.3667344,-8.9952309,52.72248,287.33035,-6.91389,186.67226,12.409,2.79,0.249,8.2,0.0258,M-R relationship,2.07,,6504.0,1.57,1.32,0.336,,4.16,0.31728,,,521.716
1564,K2-25 b,K2-25,b,1,1,Transit,2015,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,63.2739346,15.2477027,-25.29268,178.25572,-5.82461,64.13791,3.48456408,3.44,0.306,24.5,0.07709,Mass,3.31,M4.5 V,3207.0,0.29,0.26,-2.088,0.73,4.94,14.6,1.88,8.8,44.9565
1565,K2-250 b,K2-250,b,1,1,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,185.0315429,-8.9757427,53.10691,289.98214,-6.23938,188.182,4.01457,2.44,0.218,6.53,0.0205,M-R relationship,2.47,,5172.0,0.81,0.8,-0.426,,4.53,1.89682,,2.2,414.708
1566,K2-251 b,K2-251,b,1,1,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,190.6892403,-8.5359826,54.27377,299.25474,-3.6246,193.16309,9.30075,2.35,0.21,6.12,0.0193,M-R relationship,2.59,,3717.0,0.49,0.52,-1.342,,4.76,5.7438,,,147.03
1567,K2-252 b,K2-252,b,1,1,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,182.3663818,-8.3096141,53.13179,285.45308,-6.6812,185.48323,13.81513,1.74,0.155,3.68,0.0116,M-R relationship,3.84,,5152.0,0.82,0.79,-0.408,,4.5,2.04024,,2.2,228.839
1568,K2-253 b,K2-253,b,1,1,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,186.0853062,-6.3789537,55.85724,290.87617,-3.44147,188.10812,4.00167,12.67,1.13,,,Msini,,,6027.0,1.1,1.08,-0.077,,4.39,1.01569,,,876.565
1569,K2-254 b,K2-254,b,1,2,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,185.5507926,-4.7172908,57.38029,289.32884,-2.12657,186.95993,4.09639,1.63,0.145,3.29,0.0104,M-R relationship,4.17,,4629.0,0.67,0.71,-0.822,,4.64,2.71073,,,227.775
1570,K2-254 c,K2-254,c,1,2,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,185.5507926,-4.7172908,57.38029,289.32884,-2.12657,186.95993,12.11839,2.19,0.195,5.43,0.0171,M-R relationship,2.84,,4629.0,0.67,0.71,-0.822,,4.64,2.71073,,,227.775
1571,K2-255 b,K2-255,b,1,1,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,189.9128532,-3.3705631,59.36883,297.15142,0.82606,190.42863,1.96417,2.9,0.259,8.75,0.0275,M-R relationship,1.97,,4676.0,0.69,0.71,-0.79,,4.62,1.94835,,2.46,191.608
1572,K2-257 b,K2-257,b,1,1,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,188.278284,-1.9532879,60.58522,293.57789,1.48797,188.36993,1.60588,0.83,0.074,0.498,0.00157,M-R relationship,4.79,,3725.0,0.5,0.52,-1.381,,4.76,5.56654,,,64.0065
1573,K2-258 b,K2-258,b,1,1,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,187.6314027,-1.1609171,61.2665,292.00804,1.96135,187.46292,19.0921,3.0,0.268,9.27,0.0292,M-R relationship,1.89,,6351.0,1.31,1.21,0.272,,4.29,0.566,,,661.873
1574,K2-259 b,K2-259,b,1,1,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,186.8026947,1.5668631,63.78688,289.11701,4.13959,185.621,15.48043,2.32,0.207,5.99,0.0189,M-R relationship,2.64,,6059.0,1.13,1.14,0.167,,4.39,1.00719,,5.23,416.457
1575,K2-26 b,K2-26,b,1,1,Transit,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,94.2064312,24.5958335,3.90125,187.22234,1.21239,93.82116,14.5665,2.67,0.238,7.61,0.0239,M-R relationship,2.2,M1.0 V,3785.0,0.52,0.56,-1.31,1.0,4.72,3.92,,,99.0504
1576,K2-260 b,K2-260,b,1,1,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,76.8673317,16.8676948,-13.94236,185.34317,-5.99772,77.36765,2.6266657,17.396,1.552,451.3186,1.42,Mass,0.5,F6 V,6367.0,1.69,1.39,0.543,1.9,4.15,0.4005,,16.0,663.834
1577,K2-261 b,K2-261,b,1,1,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,163.0323119,0.493167,50.89463,250.88317,-6.21057,164.16722,11.633478,9.528,0.85,59.75174,0.188,Mass,0.38,G7 IV/V,5445.0,1.64,1.09,0.328,9.3,4.04,0.346,,2.8,213.283
1578,K2-263 b,K2-263,b,1,1,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,129.6821253,15.6806039,30.65614,210.10377,-2.68033,127.97982,50.818947,2.41,0.215,14.9,0.04688,Mass,5.8,G9 V,5368.0,0.85,0.88,-0.26,7.0,4.51,2.02,,2.0,162.481
1579,K2-264 b,K2-264,b,1,2,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,131.3583524,19.698401,33.6073,206.37173,1.6136,128.48372,5.840002,2.231,0.199,5.61,0.0176,M-R relationship,2.78,M2.5 V,3660.0,0.47,0.5,-1.481,,4.78,6.61,22.2,,185.605
1580,K2-264 c,K2-264,c,1,2,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,131.3583524,19.698401,33.6073,206.37173,1.6136,128.48372,19.660302,2.668,0.238,7.6,0.0239,M-R relationship,2.2,M2.5 V,3660.0,0.47,0.5,-1.481,,4.78,6.61,22.2,,185.605
1581,K2-265 b,K2-265,b,2,1,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,342.0316493,-14.4947789,-58.65451,50.42179,-6.36335,337.916,2.369172,1.71,0.153,6.54,0.02058,Mass,7.1,G8 V,5477.0,0.98,0.92,-0.18,9.7,4.42,0.98,,,138.671
1582,K2-266 b,K2-266,b,2,4,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,157.9356855,0.9372782,47.48286,245.04538,-7.72367,159.24407,0.658524,3.3,0.294,11.26782,0.03545,Msin(i)/sin(i),1.72,,4285.0,0.7,0.69,-0.823,,4.58,2.79,,,77.5586
1583,K2-266 c,K2-266,c,2,4,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,157.9356855,0.9372782,47.48286,245.04538,-7.72367,159.24407,7.814,0.705,0.063,0.29013,0.00091,Msin(i)/sin(i),4.55,,4285.0,0.7,0.69,-0.823,,4.58,2.79,,,77.5586
