pl_name,hostname,pl_letter,sy_snum,sy_pnum,discoverymethod,disc_year,disc_locale,disc_facility,disc_telescope,disc_instrument,ra,dec,glat,glon,elat,elon,pl_orbper,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,st_spectype,st_teff,st_rad,st_mass,st_lum,st_age,st_logg,st_dens,st_rotp,st_vsin,sy_dist,pl_type
GJ 876 e,GJ 876,e,1,4,Radial Velocity,2010,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,343.3239737,-14.2665958,-59.63511,52.00313,-6.63092,339.16805,124.26,3.92,0.35,14.6,0.046,Mass,1.33,M2.5V,3271.0,0.3,0.32,-1.907,1.0,4.87,10.86557,,0.16,4.67517,Neptune-like
GJ 887 c,GJ 887,c,1,2,Radial Velocity,2020,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,346.4668274,-35.8530693,-65.95709,5.10081,-27.51181,332.68432,21.789,2.67,0.238,7.6,0.02391,Msini,2.19,M1 V,3688.0,0.47,0.49,-1.434,2.88,4.78,6.05563,,2.5,3.29,Neptune-like
GJ 96 b,GJ 96,b,1,1,Radial Velocity,2018,Ground,Haute-Provence Observatory,1.93 m Telescope,SOPHIE Spectrograph,35.5624031,47.8802075,-12.26466,138.29282,31.69378,50.11757,73.94,4.67,0.417,19.66,0.06186,Msini,1.06,M2,3785.0,0.58,0.6,-1.052,,4.67,4.11988,29.6,,11.9315,Neptune-like
GJ 9689 b,GJ 9689,b,1,1,Radial Velocity,2020,Ground,Roque de los Muchachos Observatory,3.58 m Telescopio Nazionale Galileo,HARPS-N Spectrograph,303.467731,13.3888921,-11.48747,54.62427,32.36134,309.42887,18.27,3.07,0.274,9.65,0.03036,Msini,1.83,M0.5,3836.0,0.57,0.59,-1.2,8.9,4.69,3.77614,39.97,1.47,30.6203,Neptune-like
Gl 378 b,Gl 378,b,1,1,Radial Velocity,2019,Ground,Haute-Provence Observatory,1.93 m Telescope,SOPHIE Spectrograph,150.5865513,48.0824515,51.19188,168.74261,33.51795,134.2682,3.822,3.66,0.327,13.02,0.04097,Msini,1.46,M1,3879.0,0.56,0.56,-1.222,,4.69,4.44497,,,14.9545,Neptune-like
Gl 49 b,Gl 49,b,2,1,Radial Velocity,2019,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,15.6687321,62.3454386,-0.49786,124.23545,49.71241,46.28156,13.8508,2.24,0.2,5.63,0.01771,Msini,2.75,M1.5 V,3805.0,0.51,0.52,-1.306,,4.69,4.79974,18.86,2.0,9.8528,Neptune-like
Gl 686 b,Gl 686,b,1,1,Radial Velocity,2018,Ground,Roque de los Muchachos Observatory,3.58 m Telescopio Nazionale Galileo,HARPS-N Spectrograph,264.4764878,18.5959509,24.29465,42.24615,41.90034,262.95576,15.53,2.46,0.22,6.624,0.02084,Msini,2.45,M1.0 V,3656.0,0.43,0.43,-1.53,,4.87,7.14549,38.73,2.49,8.15728,Neptune-like
HD 10180 c,HD 10180,c,1,6,Radial Velocity,2010,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,24.4731133,-60.5114881,-55.69407,292.80544,-61.61125,340.44338,5.75969,3.68,0.328,13.1,0.04122,Msin(i)/sin(i),1.44,G1 V,5911.0,1.11,1.06,0.173,4.3,4.39,0.92213,,3.0,38.9607,Neptune-like
HD 10180 d,HD 10180,d,1,6,Radial Velocity,2010,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,24.4731133,-60.5114881,-55.69407,292.80544,-61.61125,340.44338,16.357,3.45,0.308,11.75,0.03697,Msin(i)/sin(i),1.57,G1 V,5911.0,1.11,1.06,0.173,4.3,4.39,0.92213,,3.0,38.9607,Neptune-like
HD 10180 e,HD 10180,e,1,6,Radial Velocity,2010,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,24.4731133,-60.5114881,-55.69407,292.80544,-61.61125,340.44338,49.748,5.39,0.481,25.1,0.079,Msin(i)/sin(i),0.881,G1 V,5911.0,1.11,1.06,0.173,4.3,4.39,0.92213,,3.0,38.9607,Neptune-like
