pl_name,hostname,pl_letter,sy_snum,sy_pnum,discoverymethod,disc_year,disc_locale,disc_facility,disc_telescope,disc_instrument,ra,dec,glat,glon,elat,elon,pl_orbper,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,st_spectype,st_teff,st_rad,st_mass,st_lum,st_age,st_logg,st_dens,st_rotp,st_vsin,sy_dist,pl_type
Kepler-1221 b,Kepler-1221,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,285.8223636,45.7118423,17.11485,76.07529,67.51785,299.85978,12.00096042,1.88,0.168,4.19,0.0132,M-R relationship,3.47,,5194.0,0.82,0.87,-0.355,4.57,4.55,1.04718,,,913.65,Super Earth
Kepler-1223 b,Kepler-1223,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,285.2956462,44.5527542,17.03433,74.80477,66.50444,298.13308,16.301259,1.22,0.109,1.98,0.00624,M-R relationship,5.99,,4870.0,0.75,0.8,-0.541,3.63,4.6,1.8193,,,459.957,Super Earth
Kepler-1224 b,Kepler-1224,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,286.6257591,37.537313,13.3833,68.50921,59.45555,296.51506,13.32351601,1.33,0.119,2.33,0.00733,M-R relationship,5.44,,6155.0,1.22,1.18,0.293,2.34,4.34,1.00393,,,559.598,Super Earth
Kepler-1225 b,Kepler-1225,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,290.6332748,40.1369671,11.64822,72.27105,61.166,303.9594,7.01075434,1.82,0.162,3.97,0.0125,M-R relationship,3.62,,6140.0,1.19,1.13,0.333,3.02,4.34,5.68003,,,1347.52,Super Earth
Kepler-1226 b,Kepler-1226,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,296.3768521,50.6214592,12.73735,83.7023,69.2734,322.79094,17.2923453,1.45,0.129,2.7,0.00849,M-R relationship,4.87,,5923.0,1.02,1.02,0.359,3.72,4.43,0.44856,,,1125.72,Super Earth
Kepler-1228 b,Kepler-1228,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,296.552761,46.9661945,10.92515,80.45666,65.98758,318.56059,0.57736958,1.54,0.137,2.99,0.0094,M-R relationship,4.5,,5063.0,0.74,0.78,-0.555,5.13,4.59,4.14027,,,515.453,Super Earth
Kepler-1229 b,Kepler-1229,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,297.4868347,46.9966782,10.38018,80.79418,65.73334,319.99143,86.828989,1.4,0.125,2.54,0.008,M-R relationship,5.09,,3784.0,0.51,0.54,-1.533,3.72,4.75,4.35164,17.63,,265.482,Super Earth
Kepler-123 c,Kepler-123,c,1,2,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,296.9985853,42.7819633,8.63544,76.88818,62.04209,315.29105,26.695074,1.48,0.132,2.79,0.00879,M-R relationship,4.73,,6089.0,1.26,1.01,0.41,0.48,4.28,2.35995,,,1021.66,Super Earth
Kepler-1231 b,Kepler-1231,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,288.5882888,42.6056644,14.08078,73.90304,63.97349,302.32385,10.41725184,1.42,0.127,2.6,0.00819,M-R relationship,4.99,,5778.0,1.0,1.01,0.023,4.17,4.44,1.2762,,,987.237,Super Earth
Kepler-1232 b,Kepler-1232,b,1,1,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,296.5500966,49.102307,11.93253,82.37845,67.89125,321.03665,26.7839183,1.93,0.172,4.38,0.0138,M-R relationship,3.35,,5471.0,0.89,0.92,-0.359,4.79,4.51,1.8739,,,632.865,Super Earth
