pl_name,hostname,pl_letter,sy_snum,sy_pnum,discoverymethod,disc_year,disc_locale,disc_facility,disc_telescope,disc_instrument,ra,dec,glat,glon,elat,elon,pl_orbper,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,st_spectype,st_teff,st_rad,st_mass,st_lum,st_age,st_logg,st_dens,st_rotp,st_vsin,sy_dist,pl_type
OGLE-2012-BLG-0838L b,OGLE-2012-BLG-0838L,b,1,1,Microlensing,2020,Ground,OGLE,1.3 m Warsaw University Telescope,OGLE CCD Array,273.003083,-25.7116111,-3.47203,5.7202,-2.30055,272.7077,,8.39,0.748,53.1,0.167,Mass,0.494,,,,0.4,,,,,,,6320.0,Gas Giant
OGLE-2013-BLG-0102L b,OGLE-2013-BLG-0102L,b,1,1,Microlensing,2014,Ground,OGLE,1.3 m Warsaw University Telescope,OGLE CCD Array,268.0295,-31.6905833,-2.62011,358.36,-8.26289,268.30581,,12.3,1.1,4100.0,13.0,Mass,12.1,,,,0.1,,,,,,,3040.0,Gas Giant
OGLE-2013-BLG-0132L b,OGLE-2013-BLG-0132L,b,1,1,Microlensing,2017,Ground,OGLE,1.3 m Warsaw University Telescope,OGLE CCD Array,269.764618,-28.4210281,-2.27454,1.94444,-4.98192,269.7922,,11.6,1.03,92.0,0.29,Mass,0.324,,,,0.54,,,,,,,3900.0,Gas Giant
OGLE-2013-BLG-0911L b,OGLE-2013-BLG-0911L,b,1,1,Microlensing,2019,Ground,OGLE,1.3 m Warsaw University Telescope,OGLE CCD Array,268.88325,-29.2538333,-2.02265,0.83633,-5.81835,269.02065,,12.5,1.12,3020.0,9.51,Mass,8.5,,,,0.29,,,,,,,3220.0,Gas Giant
OGLE-2013-BLG-1721L b,OGLE-2013-BLG-1721L,b,1,1,Microlensing,2017,Ground,OGLE,1.3 m Warsaw University Telescope,OGLE CCD Array,268.126556,-30.2926941,-1.98134,359.60721,-6.86401,268.37075,,14.1,1.26,200.0,0.64,Mass,0.392,,,,0.46,,,,,,,6300.0,Gas Giant
OGLE-2013-BLG-1761L b,OGLE-2013-BLG-1761L,b,1,1,Microlensing,2018,Ground,OGLE,1.3 m Warsaw University Telescope,OGLE CCD Array,268.409485,-28.8952713,-1.4842,0.93679,-5.46371,268.60118,,13.2,1.18,860.0,2.7,Mass,2.05,,,,0.33,,,,,,,6900.0,Gas Giant
OGLE-2014-BLG-0124L b,OGLE-2014-BLG-0124L,b,1,1,Microlensing,2015,Ground,OGLE,1.3 m Warsaw University Telescope,OGLE CCD Array,270.6217083,-28.39625,-2.91757,2.33912,-4.95815,270.54509,,14.1,1.25,206.58846,0.65,Mass,0.405,,,,0.9,,,,,,,3500.0,Gas Giant
OGLE-2014-BLG-0319L b,OGLE-2014-BLG-0319L,b,1,1,Microlensing,2022,Ground,OGLE,1.3 m Warsaw University Telescope,OGLE CCD Array,266.9611667,-33.9350444,-2.99704,355.96935,-10.52281,267.43212,,14.1,1.26,181.16219,0.57,Mass,0.355,M,,,0.52,,,,,,,7730.0,Gas Giant
OGLE-2014-BLG-0676L b,OGLE-2014-BLG-0676L,b,1,1,Microlensing,2016,Ground,OGLE,1.3 m Warsaw University Telescope,OGLE CCD Array,268.1020833,-30.5483889,-2.09312,359.37612,-7.11996,268.34902,,13.0,1.16,1169.60854,3.68,Mass,2.93,,,,0.73,,,,,,,2670.0,Gas Giant
OGLE-2014-BLG-1722L b,OGLE-2014-BLG-1722L,b,1,2,Microlensing,2018,Ground,OGLE,1.3 m Warsaw University Telescope,OGLE CCD Array,268.75238,-31.4690552,-3.03947,358.86307,-8.03443,268.92535,,8.59,0.766,55.3,0.174,Mass,0.479,,,,0.4,,,,,,,6400.0,Gas Giant
OGLE-2014-BLG-1722L c,OGLE-2014-BLG-1722L,c,1,2,Microlensing,2018,Ground,OGLE,1.3 m Warsaw University Telescope,OGLE CCD Array,268.75238,-31.4690552,-3.03947,358.86307,-8.03443,268.92535,,11.0,0.978,83.7,0.263,Mass,0.346,,,,0.4,,,,,,,6400.0,Gas Giant
OGLE-2014-BLG-1760L b,OGLE-2014-BLG-1760L,b,1,1,Microlensing,2016,Ground,OGLE,1.3 m Warsaw University Telescope,OGLE CCD Array,269.408997,-28.9631577,-2.27435,1.31847,-5.52494,269.4805,,14.2,1.26,180.0,0.56,Mass,0.345,,,,0.51,,,,,,,6860.0,Gas Giant
OGLE-2015-BLG-0051L b,OGLE-2015-BLG-0051L,b,1,1,Microlensing,2016,Ground,OGLE,1.3 m Warsaw University Telescope,OGLE CCD Array,269.662537,-28.0316944,-2.00271,2.23753,-4.59276,269.70117,,14.0,1.25,230.0,0.72,Mass,0.461,,,,0.1,,,,,,,8200.0,Gas Giant
OGLE-2015-BLG-0954L b,OGLE-2015-BLG-0954L,b,1,1,Microlensing,2016,Ground,KMTNet,1.6 m wide-field telescope,18k Mosaic CCD camera,270.184333,-28.6608889,-2.71366,1.91895,-5.22171,270.16242,,13.1,1.17,1100.0,3.4,Mass,2.69,,,,0.3,,,,,,,1200.0,Gas Giant
