pl_name,hostname,pl_letter,sy_snum,sy_pnum,discoverymethod,disc_year,disc_locale,disc_facility,disc_telescope,disc_instrument,ra,dec,glat,glon,elat,elon,pl_orbper,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,st_spectype,st_teff,st_rad,st_mass,st_lum,st_age,st_logg,st_dens,st_rotp,st_vsin,sy_dist,pl_type
GJ 682 b,GJ 682,b,1,2,Radial Velocity,2014,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,264.2610245,-44.3232519,-6.63429,345.9806,-20.97147,265.60607,17.478,1.93,0.173,4.4,0.01384,Msini,3.36,M3.5 V,3028.0,0.3,0.27,-2.699,,4.93,14.59297,,,5.00671,Super Earth
GJ 740 b,GJ 740,b,1,1,Radial Velocity,2021,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,284.4997178,5.902867,1.23509,38.93233,28.51712,286.46537,2.37756,1.53,0.137,2.96,0.00931,Msini,4.54,M1.0 V,3913.0,0.56,0.58,-1.206,,4.68,4.01176,35.56,0.92,11.1017,Super Earth
GJ 887 b,GJ 887,b,1,2,Radial Velocity,2020,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,346.4668274,-35.8530693,-65.95709,5.10081,-27.51181,332.68432,9.262,1.88,0.168,4.2,0.01321,Msini,3.47,M1 V,3688.0,0.47,0.49,-1.434,2.88,4.78,6.05563,,2.5,3.29,Super Earth
HD 136352 b,HD 136352,b,1,3,Radial Velocity,2019,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,230.4401147,-48.3188174,7.38103,327.07069,-28.77012,241.10407,11.57797,1.664,0.148,4.72,0.01485,Mass,5.623888,G4 V,5664.0,1.06,0.87,0.016,12.3,4.39,1.03481,23.8,1.0,14.682,Super Earth
HD 156668 b,HD 156668,b,1,2,Radial Velocity,2010,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,259.4183491,29.228161,32.1149,51.96923,52.11322,254.87298,4.6455,1.87,0.167,4.15,0.013,Msini,3.49,K2,4850.0,0.72,0.77,0.23,8.6,4.6,2.53285,,0.5,24.3323,Super Earth
HD 158259 b,HD 158259,b,1,5,Radial Velocity,2020,Ground,Haute-Provence Observatory,1.93 m Telescope,SOPHIE Spectrograph,261.3495847,52.7904721,34.09023,80.13841,75.58584,248.56493,2.178,1.282,0.114,2.22,0.00698,Msini,6.12,G0,5801.89,1.21,1.08,0.212,,4.25,0.72532,20.0,2.9,27.0498,Super Earth
HD 164922 d,HD 164922,d,1,4,Radial Velocity,2020,Ground,Roque de los Muchachos Observatory,3.58 m Telescopio Nazionale Galileo,HARPS-N Spectrograph,270.6304652,26.3104077,21.78318,52.29591,49.74777,270.87467,12.458,1.83,0.163,4.0,0.01259,Msini,3.59,G9 V,5390.0,0.95,0.93,-0.149,9.58,4.46,1.32024,42.3,2.0,22.0016,Super Earth
HD 20781 b,HD 20781,b,2,5,Radial Velocity,2019,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,50.0139757,-28.7841175,-57.2719,224.6733,-45.14521,37.01168,5.3135,1.21,0.108,1.93,0.0061,Msini,5.99,K0 V,5256.0,0.83,0.7,-0.31,,4.37,1.96197,46.8,1.1,35.9715,Super Earth
HD 20794 b,HD 20794,b,1,4,Radial Velocity,2011,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,49.9997666,-43.0666533,-56.06514,250.73443,-58.11535,27.24413,18.315,1.45,0.129,2.7,0.0085,Msin(i)/sin(i),4.87,G8 V,5401.0,0.92,0.7,-0.163,5.76,4.22,1.70389,,3.0,6.00278,Super Earth
HD 20794 c,HD 20794,c,1,4,Radial Velocity,2011,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,49.9997666,-43.0666533,-56.06514,250.73443,-58.11535,27.24413,40.114,1.35,0.121,2.4,0.0076,Msin(i)/sin(i),5.36,G8 V,5401.0,0.92,0.7,-0.163,5.76,4.22,1.70389,,3.0,6.00278,Super Earth
